tree_depth,nu,cascade_depth,feature_pool_size,num_test_splits,oversampling_amount,oversampling_translation_jitter,inference_speed,training_time,training_error,testing_error,model_size
4,0.1,6,1000,20,1,0.0,0.003131198883056641,370.0231475830078,3.0668709879373925,12.0008995512731,7697987
2,0.25,10,100,300,40,0.1,0.0,3995.2947890758514,8.45952302325462,8.454553292279058,3141869
6,0.25,14,250,100,40,0.1,0.0015625953674316406,7429.733079910278,1.5326882433492788,6.1020155054093195,70666572
6,0.1,12,1000,100,40,0.1,0.006259655952453614,7601.523111581802,3.1884561060667598,5.941277449821926,61294926
2,0.1,12,750,100,20,0.25,0.0,1529.2123098373413,14.257365054409476,13.571487175846658,3899936
2,0.1,10,1000,20,40,0.25,0.001562786102294922,1528.9450299739838,17.283364634137744,15.882847535543158,3286532
2,0.1,8,500,300,20,0.25,0.0,1885.4772231578827,15.700378476676681,15.017053443879554,2568851
2,0.01,6,500,20,1,0.0,0.0015621662139892578,297.92743158340454,18.9999122952054,18.413427988694693,1926441
6,0.01,6,500,300,20,0.0,0.0,3671.5395085811615,9.997050680287925,10.706949987854596,30510880
6,0.25,12,500,300,1,0.1,0.0015623331069946288,738.7230551242828,0.0019604994814914757,19.430765161562597,57763081
4,0.01,8,750,100,40,0.0,0.0,3468.607052087784,12.401274505561528,12.502527332662348,10243081
